,index,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,time,fu,nt,peak_idx,widths,loc_curated,w_curated,peak_nts,peak_area,backgd_area,peak_area_backsub,total_area,frac_intact,frac_norm
76,76,hHBB_GCrich-2_hHBB,5mC,4.0,4,11,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.1501694 0.1501694 0.1501694 ... 0.1455845 0.150159  0.1713056],"[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 243 276 403],[ 7.83937208 12.99684203 10.32606814 11.48750346],[110 243 403],[ 7.83937208 12.99684203 11.48750346],[ 23.24409012 237.93690788 906.22945422],[144.67703104  94.516725    85.084237  ],[26.952634 43.181554 46.51944 ],[117.72439704  51.335171    38.564797  ],670.6444068999998,0.7512353859695923,0.21167758067883355
77,77,hHBB_GCrich-2_hHBB,5mC,5.0,4,12,nts-Eukaryote Total RNA Nano_2020-10-21_16-41-52_Sample12.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.09397125 -0.09397125 -0.09397125 ...  0.0269169   0.02432377
  0.02757245]","[  -11.4037012    -11.41006595   -11.41286656 ... 10589.23906
 10613.16952655 10637.12532794]",[110 243 403],[ 7.84301299 13.5217228  12.13227383],[110 243 403],[ 7.84301299 13.5217228  12.13227383],[ 23.24409012 237.93690788 906.22945422],[141.54382311  99.483682    67.69824   ],[24.6325528 46.341008  41.342977 ],[116.91127031  53.142674    26.355263  ],639.3418964900003,0.4959340773857183,0.13974065604179017
78,78,hHBB_GCrich-2_hHBB,5mC,18.0,9,7,nts-Eukaryote Total RNA Nano_2020-10-22_10-58-16_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.2313461  -0.2313461  -0.2313461  ...  0.00993883  0.00519951
  0.0048858 ]","[   25.00044755    24.38555415    23.78071439 ... 11283.60648849
 11312.72946375 11341.90324546]",[110 243],[ 7.67429984 15.01002358],[110 243 403],[ 7.84301299 13.5217228  12.13227383],[ 23.3095643  235.22774142 895.71359704],[147.28657036  99.804769     9.63575369],[16.9777344  52.455984    8.28959339],[130.30883596  47.348785     1.3461603 ],519.1361977019997,0.02843072530794614,0.0080110006298001
79,79,hHBB_GCrich-2_hHBB,5mC,24.0,5,2,nts-Eukaryote Total RNA Nano_2020-10-21_17-01-22_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.03688812 0.03688812 0.03688812 ... 0.1155049  0.1179479  0.1354037 ],"[   16.70567708    16.2585383     15.81918168 ... 10605.18465001
 10630.32001772 10655.48942546]",[110 243],[ 7.42824789 14.00688063],[110 243 403],[ 7.84301299 13.5217228  12.13227383],[ 23.37510542 234.77917017 900.32527428],[189.8991404 172.139693   20.9796302],[25.364112  92.852354  20.1524531],[164.5350284  79.287339    0.8271771],894.0286256,0.010432650539577277,0.0029396355224071318
80,80,hHBB_GCrich-2_hHBB,PSU,0.0,10,2,nts-Eukaryote Total RNA Nano_2020-10-22_11-04-04_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1756198 -0.1795092 -0.1637051 ... -0.0357132 -0.0357132 -0.0357132],"[ -30.337636    -30.0001583   -29.66317317 ... 9647.84648576 9666.46509462
 9685.08667457]",[110 245 397],[ 7.70842591 13.42891956  9.79106421],[110 245 397],[ 7.70842591 13.42891956  9.79106421],[ 23.19695547 240.76723605 865.50806515],[143.53754868  50.9207485  127.4703763 ],[24.33964781 23.3873962  32.45245   ],[119.19790087  27.5333523   95.0179263 ],449.8538401339999,3.4510118951261886,1.0
81,81,hHBB_GCrich-2_hHBB,PSU,0.5,10,2,nts-Eukaryote Total RNA Nano_2020-10-22_11-04-04_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1756198 -0.1795092 -0.1637051 ... -0.0357132 -0.0357132 -0.0357132],"[ -30.337636    -30.0001583   -29.66317317 ... 9647.84648576 9666.46509462
 9685.08667457]",[110 245 397],[ 7.70842591 13.42891956  9.79106421],[110 245 397],[ 7.70842591 13.42891956  9.79106421],[ 23.19695547 240.76723605 865.50806515],[143.53754868  50.9207485  127.4703763 ],[24.33964781 23.3873962  32.45245   ],[119.19790087  27.5333523   95.0179263 ],449.8538401339999,3.4510118951261886,1.0
82,82,hHBB_GCrich-2_hHBB,PSU,1.0,10,3,nts-Eukaryote Total RNA Nano_2020-10-22_11-04-04_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.101487   0.106577   0.08434362 ... 0.1044159  0.1044159  0.1044159 ],"[ -30.337636    -30.0001583   -29.66317317 ... 9647.84648576 9666.46509462
 9685.08667457]",[110 243 396 427],[ 7.65087099 13.20429716 10.17460368  4.13452215],[110 243 396],[ 7.65087099 13.20429716 10.17460368],[ 23.19695547 235.58124379 859.75876196],[145.64790665  85.2025329  210.595809  ],[20.3102612 43.5561252 50.799375 ],[125.33764545  41.6464077  159.796434  ],666.8129564800003,3.8369800140049026,1.111842013475471
83,83,hHBB_GCrich-2_hHBB,PSU,1.5,10,4,nts-Eukaryote Total RNA Nano_2020-10-22_11-04-04_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02708345 -0.02739616 -0.03533864 ...  0.04039764  0.04039764
  0.04039764]","[ -30.337636    -30.0001583   -29.66317317 ... 9647.84648576 9666.46509462
 9685.08667457]",[110 245 397],[ 7.69714459 13.18809526 10.53191969],[110 245 397],[ 7.69714459 13.18809526 10.53191969],[ 23.19695547 240.76723605 865.50806515],[145.19366418 106.8756451  242.792515  ],[25.12169168 51.5162368  60.502321  ],[120.0719725  55.3594083 182.290194 ],777.4086393099999,3.292849392683988,0.9541692386903763
84,84,hHBB_GCrich-2_hHBB,PSU,2.0,10,5,nts-Eukaryote Total RNA Nano_2020-10-22_11-04-04_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02495896 -0.02178054 -0.01500056 ... -0.0347023  -0.0347023
 -0.0347023 ]","[ -30.337636    -30.0001583   -29.66317317 ... 9647.84648576 9666.46509462
 9685.08667457]",[110 245 398],[ 7.83887618 13.47051108 10.43672665],[110 245 398],[ 7.83887618 13.47051108 10.43672665],[ 23.19695547 240.76723605 871.28074599],[144.6946741 101.9708385 208.99743  ],[27.97512792 48.5252698  53.556459  ],[116.71954618  53.4455687  155.440971  ],719.7329303000002,2.9083977358818904,0.8427666505552693
85,85,hHBB_GCrich-2_hHBB,PSU,3.0,10,6,nts-Eukaryote Total RNA Nano_2020-10-22_11-04-04_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01851596 -0.02201149  0.00100526 ...  0.03320694  0.03320694
  0.03320694]","[ -30.337636    -30.0001583   -29.66317317 ... 9647.84648576 9666.46509462
 9685.08667457]",[110 244 398],[ 7.79956148 12.18871249 10.83857616],[110 244 398],[ 7.79956148 12.18871249 10.83857616],[ 23.19695547 238.16555932 871.28074599],[146.16210007  93.735985   172.299285  ],[27.50721656 43.7684845  46.537513  ],[118.65488351  49.9675005  125.761772  ],691.9971470100004,2.5168713812290866,0.7293140266434971
86,86,hHBB_GCrich-2_hHBB,PSU,4.0,10,7,nts-Eukaryote Total RNA Nano_2020-10-22_11-04-04_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05397037 -0.04004757 -0.03951766 ...  0.1034737   0.1034737
  0.1034737 ]","[ -30.337636    -30.0001583   -29.66317317 ... 9647.84648576 9666.46509462
 9685.08667457]",[110 243 397],[ 7.62552512 12.38114187 11.00240217],[110 243 397],[ 7.62552512 12.38114187 11.00240217],[ 23.19695547 235.58124379 865.50806515],[137.82670917  72.3928941  107.955579  ],[19.905342  38.0179618 36.999048 ],[117.92136717  34.3749323   70.956531  ],571.7429314999997,2.064194058063644,0.5981416815684912
87,87,hHBB_GCrich-2_hHBB,PSU,5.0,10,8,nts-Eukaryote Total RNA Nano_2020-10-22_11-04-04_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05892345 -0.05667407 -0.05686389 ...  0.07221985  0.07221985
  0.07221985]","[ -30.337636    -30.0001583   -29.66317317 ... 9647.84648576 9666.46509462
 9685.08667457]",[110 243 397],[ 7.6246905 12.5405954 11.722927 ],[110 243 397],[ 7.6246905 12.5405954 11.722927 ],[ 23.19695547 235.58124379 865.50806515],[138.49636099  94.5626681  137.03224   ],[18.4293176 44.9720687 47.824656 ],[120.06704339  49.5905994   89.207584  ],693.23066382,1.798880938712752,0.5212618772057216
88,88,hHBB_GCrich-2_hHBB,PSU,18.0,10,9,nts-Eukaryote Total RNA Nano_2020-10-22_11-04-04_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03125606 -0.03486227 -0.03801806 ... -0.06856155 -0.06856155
 -0.06856155]","[ -30.337636    -30.0001583   -29.66317317 ... 9647.84648576 9666.46509462
 9685.08667457]",[110 243],[ 7.55574931 15.59907809],[110 243 397],[ 7.6246905 12.5405954 11.722927 ],[ 23.19695547 235.58124379 865.50806515],[137.53098283 141.863083    37.785107  ],[20.40997616 71.225063   25.5569076 ],[117.12100667  70.63802     12.2281994 ],729.4534387999995,0.1731107327187258,0.0501623112233277
89,89,hHBB_GCrich-2_hHBB,PSU,24.0,10,10,nts-Eukaryote Total RNA Nano_2020-10-22_11-04-04_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.1100619  -0.1204461  -0.1362848  ... -0.01420975 -0.01420975
 -0.01420975]","[ -30.337636    -30.0001583   -29.66317317 ... 9647.84648576 9666.46509462
 9685.08667457]",[110 243],[ 7.54546905 16.28755953],[110 243 397],[ 7.6246905 12.5405954 11.722927 ],[ 23.19695547 235.58124379 865.50806515],[133.8056031 152.430187   30.1644993],[21.0356816 80.447965  25.238646 ],[112.7699215  71.982222    4.9258533],759.749952000001,0.06843152605097406,0.0198294089184737
90,90,hHBB_LocalDesign_hHBB,5mC,0.0,5,3,nts-Eukaryote Total RNA Nano_2020-10-21_17-01-22_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.00309753 0.00309753 0.00309753 ... 0.04666881 0.08673625 0.1265686 ],"[   16.70567708    16.2585383     15.81918168 ... 10605.18465001
 10630.32001772 10655.48942546]",[110 242 399 509],[ 7.57695517 13.0808881   7.18844749 12.74603353],[110 242 399],[ 7.57695517 13.0808881   7.18844749],[ 23.37510542 232.15496628 877.20951913],[190.58889544  79.9097414  113.888003  ],[26.88847632 32.3748586  32.471224  ],[163.70041912  47.5348828   81.416779  ],511.11948868,1.7127796305411322,1.0
91,91,hHBB_LocalDesign_hHBB,5mC,0.5,5,4,nts-Eukaryote Total RNA Nano_2020-10-21_17-01-22_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.08602524 0.08602524 0.08602524 ... 0.1665164  0.1610219  0.158262  ],"[   16.70567708    16.2585383     15.81918168 ... 10605.18465001
 10630.32001772 10655.48942546]",[110 243 400 510],[ 7.6849158  13.25153231  7.4768935  14.29702318],[110 243 400],[ 7.6849158  13.25153231  7.4768935 ],[ 23.37510542 234.77917017 882.95489917],[188.6844455  55.9905222  77.311954 ],[27.9403392 25.5400698 24.131016 ],[160.7441063  30.4504524  53.180938 ],462.69483073000004,1.7464744793085571,1.019672611798156
92,92,hHBB_LocalDesign_hHBB,5mC,1.0,5,5,nts-Eukaryote Total RNA Nano_2020-10-21_17-01-22_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.1750908  0.1750908  0.1750908  ... 0.06440113 0.05374891 0.04134948],"[   16.70567708    16.2585383     15.81918168 ... 10605.18465001
 10630.32001772 10655.48942546]",[110 243 400],[ 7.66106834 12.81154456  7.69752804],[110 243 400],[ 7.66106834 12.81154456  7.69752804],[ 23.37510542 234.77917017 882.95489917],[192.4675876  72.5467285  72.472466 ],[26.3808848 29.7007789 24.632296 ],[166.0867028  42.8459496  47.84017  ],507.08861687000024,1.1165622525962176,0.6519007072984941
93,93,hHBB_LocalDesign_hHBB,5mC,1.5,5,6,nts-Eukaryote Total RNA Nano_2020-10-21_17-01-22_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03682709 -0.03682709 -0.03682709 ...  0.1067857   0.08237667
  0.05915439]","[   16.70567708    16.2585383     15.81918168 ... 10605.18465001
 10630.32001772 10655.48942546]",[110 244 401],[ 7.72968111 13.01604598  8.20944139],[110 244 401],[ 7.72968111 13.01604598  8.20944139],[ 23.37510542 237.42066781 888.7226321 ],[190.3417217  64.6648019  54.477534 ],[37.008044 27.024312 19.682829],[153.3336777  37.6404899  34.794705 ],454.4267648201,0.9243956466145781,0.5397049510231076
94,94,hHBB_LocalDesign_hHBB,5mC,2.0,5,7,nts-Eukaryote Total RNA Nano_2020-10-21_17-01-22_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05178833 -0.05178833 -0.05178833 ...  0.08264036  0.07104773
  0.07302251]","[   16.70567708    16.2585383     15.81918168 ... 10605.18465001
 10630.32001772 10655.48942546]",[110 243 400],[ 7.68578503 12.82158706  8.11360851],[110 243 400],[ 7.68578503 12.82158706  8.11360851],[ 23.37510542 234.77917017 882.95489917],[183.97080891  70.7582307   49.69927   ],[26.0284832 28.265835  19.4000148],[157.94232571  42.4923957   30.2992552 ],478.30649805999997,0.7130512342470725,0.4163123040071375
95,95,hHBB_LocalDesign_hHBB,5mC,3.0,5,8,nts-Eukaryote Total RNA Nano_2020-10-21_17-01-22_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.1436195  -0.1436195  -0.1436195  ...  0.00997212  0.01707118
  0.0020531 ]","[   16.70567708    16.2585383     15.81918168 ... 10605.18465001
 10630.32001772 10655.48942546]",[110 243 400],[ 7.70135602 13.76354892  7.36422701],[110 243 400],[ 7.70135602 13.76354892  7.36422701],[ 23.37510542 234.77917017 882.95489917],[183.47006829  81.0864131   35.6318261 ],[25.6550216 27.7418932 15.1960832],[157.81504669  53.3445199   20.4357429 ],467.60721108000024,0.38308982700207983,0.22366556687800354
96,96,hHBB_LocalDesign_hHBB,5mC,4.0,5,9,nts-Eukaryote Total RNA Nano_2020-10-21_17-01-22_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02177811 -0.02177811 -0.02177811 ...  0.2518789   0.245082
  0.2604098 ]","[   16.70567708    16.2585383     15.81918168 ... 10605.18465001
 10630.32001772 10655.48942546]",[110 244 401],[ 7.70777634 13.80127017  7.59367087],[110 244 401],[ 7.70777634 13.80127017  7.59367087],[ 23.37510542 237.42066781 888.7226321 ],[184.11618109 101.0462946   32.1688292 ],[36.37124072 39.6203934  17.263356  ],[147.74494037  61.4259012   14.9054732 ],565.7346223999997,0.24265778619134046,0.14167484354929866
97,97,hHBB_LocalDesign_hHBB,5mC,5.0,5,10,nts-Eukaryote Total RNA Nano_2020-10-21_17-01-22_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01354599 -0.01354599 -0.01354599 ...  0.1214099   0.1394038
  0.1409075 ]","[   16.70567708    16.2585383     15.81918168 ... 10605.18465001
 10630.32001772 10655.48942546]",[110 243 401],[ 7.74091768 13.83034867  6.2430641 ],[110 243 401],[ 7.74091768 13.83034867  6.2430641 ],[ 23.37510542 234.77917017 888.7226321 ],[179.83383667  86.9360901   19.0965846 ],[34.34370136 35.9370186  11.2595567 ],[145.49013531  50.9990715    7.8370279 ],495.86159807000035,0.15367001142363937,0.0897196631040557
98,98,hHBB_LocalDesign_hHBB,5mC,18.0,5,11,nts-Eukaryote Total RNA Nano_2020-10-21_17-01-22_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.0332756 -0.0332756 -0.0332756 ...  0.2313687  0.2073119  0.1955577],"[   16.70567708    16.2585383     15.81918168 ... 10605.18465001
 10630.32001772 10655.48942546]",[110 243],[ 7.7323502  14.30505999],[110 243 401],[ 7.74091768 13.83034867  6.2430641 ],[ 23.37510542 234.77917017 888.7226321 ],[180.04440712  92.368694     5.2460192 ],[35.81812232 42.436758    5.2886477 ],[ 1.44226285e+02  4.99319360e+01 -4.26285000e-02],494.1254645000001,-0.0008537321685263398,-0.0004984483428592698
99,99,hHBB_LocalDesign_hHBB,5mC,24.0,5,12,nts-Eukaryote Total RNA Nano_2020-10-21_17-01-22_Sample12.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.04269791 0.04269791 0.04269791 ... 0.2445228  0.236029   0.2408557 ],"[   16.70567708    16.2585383     15.81918168 ... 10605.18465001
 10630.32001772 10655.48942546]",[110 243],[ 7.77959668 14.23076112],[110 243 401],[ 7.74091768 13.83034867  6.2430641 ],[ 23.37510542 234.77917017 888.7226321 ],[180.80614021  86.822708     2.26528   ],[28.7864856 39.55147    2.307501 ],[ 1.52019655e+02  4.72712380e+01 -4.22210000e-02],455.95066199999974,-0.000893164676584101,-0.0005214708656372311
100,100,hHBB_LocalDesign_hHBB,PSU,0.0,11,1,nts-Eukaryote Total RNA Nano_2020-10-22_11-19-17_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.2564163 -0.2564163 -0.2564163 ... -0.3047292 -0.3283536 -0.3379713],"[   16.90418096    16.48701411    16.07685941 ... 10612.99528988
 10637.76386756 10662.56371581]",[ 41 110 244 393],[ 4.36039424  7.42415792 17.43926651  7.42317624],[110 244 393],[ 7.42415792 17.43926651  7.42317624],[ 23.46520218 234.32254034 841.56354855],[168.2662742   88.78189019 172.466104  ],[25.1629384  22.47595182 33.77568   ],[143.1033358   66.30593837 138.690424  ],453.2644781189998,2.0916742513480546,1.0
101,101,hHBB_LocalDesign_hHBB,PSU,0.5,11,2,nts-Eukaryote Total RNA Nano_2020-10-22_11-19-17_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.06921768 -0.06921768 -0.06921768 ... -0.09739419 -0.09761569
 -0.09700228]","[   16.90418096    16.48701411    16.07685941 ... 10612.99528988
 10637.76386756 10662.56371581]",[110 244 392],[ 7.48174542 16.63947152  7.29936067],[110 244 392],[ 7.48174542 16.63947152  7.29936067],[ 23.46520218 234.32254034 835.93415863],[178.35029918 100.9017883  156.951621  ],[25.78435072 32.0862386  35.9066    ],[152.56594846  68.8155497  121.045021  ],529.0318909338,1.7589777532504403,0.840942490025301
102,102,hHBB_LocalDesign_hHBB,PSU,1.0,11,3,nts-Eukaryote Total RNA Nano_2020-10-22_11-19-17_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.00333404 0.00333404 0.00333404 ... 0.04670911 0.04343488 0.04791912],"[   16.90418096    16.48701411    16.07685941 ... 10612.99528988
 10637.76386756 10662.56371581]",[ 17 110 244 393],[ 4.39121331  7.53319297 13.56844283  7.35403074],[110 244 393],[ 7.53319297 13.56844283  7.35403074],[ 23.46520218 234.32254034 841.56354855],[174.66168201 108.6492402  165.445739  ],[32.475796 44.419879 39.944   ],[142.18588601  64.2293612  125.501739  ],600.1398815199999,1.9539621234781952,0.9341617712312967
103,103,hHBB_LocalDesign_hHBB,PSU,1.5,11,4,nts-Eukaryote Total RNA Nano_2020-10-22_11-19-17_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.148201    0.148201    0.148201   ... -0.02364374 -0.04143984
 -0.04600281]","[   16.90418096    16.48701411    16.07685941 ... 10612.99528988
 10637.76386756 10662.56371581]",[110 244 392],[ 7.53855242 14.05543156  7.46294771],[110 244 392],[ 7.53855242 14.05543156  7.46294771],[ 23.46520218 234.32254034 835.93415863],[173.01011219 115.7763884  162.943952  ],[29.14843752 43.3863945  41.915184  ],[143.86167467  72.3899939  121.028768  ],599.3265985573997,1.6718991324573103,0.799311427857275
104,104,hHBB_LocalDesign_hHBB,PSU,2.0,11,5,nts-Eukaryote Total RNA Nano_2020-10-22_11-19-17_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00139237 -0.00139237 -0.00139237 ...  0.0699247   0.148886
  0.2523153 ]","[   16.90418096    16.48701411    16.07685941 ... 10612.99528988
 10637.76386756 10662.56371581]",[110 244 392],[ 7.61186794 13.50754456  7.5401854 ],[110 244 392],[ 7.61186794 13.50754456  7.5401854 ],[ 23.46520218 234.32254034 835.93415863],[176.7129014 118.7677277 152.245066 ],[30.4009304 47.3063976 41.855336 ],[146.311971   71.4613301 110.38973  ],623.08130755,1.544747765617086,0.7385221501969141
105,105,hHBB_LocalDesign_hHBB,PSU,3.0,11,6,nts-Eukaryote Total RNA Nano_2020-10-22_11-19-17_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01780701 -0.01780701 -0.01780701 ...  0.06939822  0.08142549
  0.09963325]","[   16.90418096    16.48701411    16.07685941 ... 10612.99528988
 10637.76386756 10662.56371581]",[110 244 392],[ 7.70499203 12.91561975  8.02318301],[110 244 392],[ 7.70499203 12.91561975  8.02318301],[ 23.46520218 234.32254034 835.93415863],[179.53456983 122.405641   132.97468   ],[30.60719864 52.329043   37.873647  ],[148.92737119  70.076598    95.101033  ],670.9246692600002,1.3571011680675482,0.6488109547616775
106,106,hHBB_LocalDesign_hHBB,PSU,4.0,11,7,nts-Eukaryote Total RNA Nano_2020-10-22_11-19-17_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.1189842  -0.1189842  -0.1189842  ...  0.05871351  0.05219584
  0.04938004]","[   16.90418096    16.48701411    16.07685941 ... 10612.99528988
 10637.76386756 10662.56371581]",[110 243 390],[ 7.56521192 12.58382927  8.05300601],[110 243 390],[ 7.56521192 12.58382927  8.05300601],[ 23.46520218 231.69680249 824.74301468],[171.63290424 129.656543   123.841346  ],[23.5192552 55.616197  40.578291 ],[148.11364904  74.040346    83.263055  ],665.9211472879996,1.124563288777716,0.5376378697844326
107,107,hHBB_LocalDesign_hHBB,PSU,5.0,11,8,nts-Eukaryote Total RNA Nano_2020-10-22_11-19-17_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.1802521  0.1802521  0.1802521  ... 0.066381   0.06325294 0.06008776],"[   16.90418096    16.48701411    16.07685941 ... 10612.99528988
 10637.76386756 10662.56371581]",[110 244 391],[ 7.56851496 12.4390928   8.09724051],[110 244 391],[ 7.56851496 12.4390928   8.09724051],[ 23.46520218 234.32254034 830.32732398],[169.3314533 122.225664  100.051201 ],[29.5664248 51.049635  33.116787 ],[139.7650285  71.176029   66.934414 ],619.9393730200009,0.9404066922587094,0.44959519468800196
108,108,hHBB_LocalDesign_hHBB,PSU,18.0,11,9,nts-Eukaryote Total RNA Nano_2020-10-22_11-19-17_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.06855392 0.06855392 0.06855392 ... 0.06683044 0.06623571 0.07822111],"[   16.90418096    16.48701411    16.07685941 ... 10612.99528988
 10637.76386756 10662.56371581]",[110 244],[ 7.7242313  13.89931687],[110 244 391],[ 7.56851496 12.4390928   8.09724051],[ 23.46520218 234.32254034 830.32732398],[171.42814935 123.360422    19.6254655 ],[33.41569609 56.207242   13.3803522 ],[138.01245326  67.15318      6.2451133 ],610.3251312000001,0.09299802779257814,0.04446104728431888
109,109,hHBB_LocalDesign_hHBB,PSU,24.0,11,10,nts-Eukaryote Total RNA Nano_2020-10-22_11-19-17_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.04649734 0.04649734 0.04649734 ... 0.1635187  0.1598162  0.1420008 ],"[   16.90418096    16.48701411    16.07685941 ... 10612.99528988
 10637.76386756 10662.56371581]",[110 243],[ 7.65882089 14.14951768],[110 244 391],[ 7.56851496 12.4390928   8.09724051],[ 23.46520218 234.32254034 830.32732398],[170.11247692 116.804315     8.8908474 ],[24.18535136 52.784225    5.9649309 ],[145.92712556  64.02009      2.9259165 ],559.8585255300002,0.04570309882413474,0.0218500078559937
110,110,hHBB_-423.7 kcal_hHBB,5mC,0.0,6,1,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00828171 -0.00828171 -0.00828171 ... -0.1018974  -0.08411145
 -0.05914449]","[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 244 278 402],[ 7.00173775 11.97062789  6.70712146  7.23894672],[110 244 402],[ 7.00173775 11.97062789  7.23894672],[ 23.46689634 234.42344415 888.77298677],[117.72030694  84.2519985  230.811653  ],[16.196204  29.3655948 58.856896 ],[101.52410294  54.8864037  171.954757  ],668.2635677199995,3.132920822065083,1.0
111,111,hHBB_-423.7 kcal_hHBB,5mC,0.5,6,2,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.02819061 -0.02819061 -0.02819061 ...  0.07325207  0.05877545
  0.0421243 ]","[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 245 278 402],[ 7.0560811  11.58471432  6.8923177   7.41536724],[110 245 402],[ 7.0560811  11.58471432  7.41536724],[ 23.46689634 237.08650434 888.77298677],[117.09236118  91.5369375  189.966752  ],[17.93396824 31.0144956  58.373232  ],[ 99.15839294  60.5224419  131.59352   ],685.5249679720002,2.1742929708194727,0.6940146573465826
112,112,hHBB_-423.7 kcal_hHBB,5mC,1.0,6,3,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00083542 -0.00083542 -0.00083542 ... -0.04923956 -0.04383155
 -0.04254244]","[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 244 277 401],[ 7.12864193 12.52044543  6.22518223  7.45092054],[110 244 401],[ 7.12864193 12.52044543  7.45092054],[ 23.46689634 234.42344415 883.03614023],[119.92084933  89.288523   133.633754  ],[12.46434456 30.3125836  44.721328  ],[107.45650477  58.9759394   88.912426  ],601.7685887109999,1.5076050827602414,0.4812139113578028
113,113,hHBB_-423.7 kcal_hHBB,5mC,1.5,6,4,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.00061035 0.00061035 0.00061035 ... 0.10312    0.1050375  0.1227544 ],"[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 245 278 403],[ 7.1958802  12.72803176  6.47113021  7.7669612 ],[110 245 403],[ 7.1958802  12.72803176  7.7669612 ],[ 23.46689634 237.08650434 894.5317015 ],[117.92644098  90.2264567  111.661645  ],[17.32144568 33.7780222  39.67292   ],[100.6049953  56.4484345  71.988725 ],607.5701343605,1.275300646291616,0.40706443562496236
114,114,hHBB_-423.7 kcal_hHBB,5mC,2.0,6,5,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.014534   -0.014534   -0.03303345 ...  0.09559307  0.1006882
  0.08862514]","[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 245 278 373 403],[ 7.19684317 12.58366697  6.41346553  9.11205195  7.98026548],[110 245 403],[ 7.19684317 12.58366697  7.98026548],[ 23.46689634 237.08650434 894.5317015 ],[117.48687712  99.059152   107.065712  ],[17.78666032 38.621778   40.804992  ],[99.7002168 60.437374  66.26072  ],637.4895732949996,1.096353392190733,0.3499460900732452
