,Sample,Nucleotide,Timepoint,Plate,FileNumber,FileName,peak_nts,start_nt,end_nt,p4p6_area,background_area,total_area,subtracted_area,normalized_area
74,RNA-4,5mC,2.0,4,9,Eukaryote Total RNA Nano_2020-10-21_16-41-52_9_nts.csv,[ 23.24409012 900.33892542],800.3389254242813,1000.3389254242813,245.41195434450862,326.57912369336816,755.0505969884432,428.47147329507504,1.7459274730096805
75,RNA-4,5mC,3.0,4,10,Eukaryote Total RNA Nano_2020-10-21_16-41-52_10_nts.csv,[ 23.24409012 900.33892542],800.3389254242813,1000.3389254242813,264.05553437733636,304.0977256987,640.9555631628799,336.8578374641799,1.2757083022649651
76,RNA-4,5mC,4.0,4,11,Eukaryote Total RNA Nano_2020-10-21_16-41-52_11_nts.csv,[ 23.24409012 906.22945422],806.2294542189337,1006.2294542189337,297.0748046426986,338.4541194799185,600.6722870226037,262.21816754268514,0.8826671378545997
77,RNA-4,5mC,5.0,4,12,Eukaryote Total RNA Nano_2020-10-21_16-41-52_12_nts.csv,[ 23.24409012 906.22945422],806.2294542189337,1006.2294542189337,299.9345571415781,273.4118026960382,461.57352203355646,188.16171933751826,0.6273425814308562
78,RNA-4,5mC,18.0,9,7,Eukaryote Total RNA Nano_2020-10-22_10-58-16_7_nts.csv,[23.3095643],-76.69043570494478,123.30956429505522,306.28758691501656,64.03423426379548,164.04432970171683,100.01009543792135,0.32652350180182277
79,RNA-4,5mC,24.0,5,2,Eukaryote Total RNA Nano_2020-10-21_17-01-22_2_nts.csv,[23.37510542],-76.6248945756721,123.3751054243279,530.3747733846645,138.72519866667926,290.6611707416692,151.93597207498993,0.286469077526799
80,RNA-4,PSU,0.0,10,1,Eukaryote Total RNA Nano_2020-10-22_11-04-04_1_nts.csv,[ 44.23610974 859.75876196],759.7587619577283,959.7587619577283,147.18889729439292,153.75195858161197,961.6271940386468,807.8752354570349,5.488696839960704
81,RNA-4,PSU,0.5,10,2,Eukaryote Total RNA Nano_2020-10-22_11-04-04_2_nts.csv,[ 23.19695547 865.50806515],765.5080651491243,965.5080651491243,161.32246202031817,167.77112747677387,830.584344455852,662.8132169790781,4.108623242407486
82,RNA-4,PSU,1.0,10,3,Eukaryote Total RNA Nano_2020-10-22_11-04-04_3_nts.csv,[ 23.19695547 859.75876196],759.7587619577283,959.7587619577283,281.48731980078696,255.33359156781634,1330.8862128729716,1075.5526213051553,3.8209629551567046
83,RNA-4,PSU,1.5,10,4,Eukaryote Total RNA Nano_2020-10-22_11-04-04_4_nts.csv,[ 23.19695547 865.50806515],765.5080651491243,965.5080651491243,341.2632440467777,298.3130791141071,1540.0096133843485,1241.6965342702415,3.638529949917605
84,RNA-4,PSU,2.0,10,5,Eukaryote Total RNA Nano_2020-10-22_11-04-04_5_nts.csv,[ 23.19695547 871.28074599],771.2807459873927,971.2807459873927,330.34410125575334,267.405906176102,1332.9484233681846,1065.5425171920826,3.225553334058587
85,RNA-4,PSU,3.0,10,6,Eukaryote Total RNA Nano_2020-10-22_11-04-04_6_nts.csv,[ 23.19695547 871.28074599],771.2807459873927,971.2807459873927,324.3813670694782,260.3432841248955,1108.0565305621026,847.7132464372071,2.6133228739233907
86,RNA-4,PSU,4.0,10,7,Eukaryote Total RNA Nano_2020-10-22_11-04-04_7_nts.csv,[ 23.19695547 865.50806515],765.5080651491243,965.5080651491243,252.5182414824127,240.66213067368227,699.3807597822636,458.7186291085813,1.8165762062006519
87,RNA-4,PSU,5.0,10,8,Eukaryote Total RNA Nano_2020-10-22_11-04-04_8_nts.csv,[ 23.19695547 865.50806515],765.5080651491243,965.5080651491243,332.899635574358,288.85900222017676,884.0839370267724,595.2249348065957,1.7880011607091215
88,RNA-4,PSU,18.0,10,9,Eukaryote Total RNA Nano_2020-10-22_11-04-04_9_nts.csv,[23.19695547],-76.80304453447229,123.19695546552771,464.21342857281894,128.08013263473032,199.7659966403538,71.68586400562347,0.15442436515896363
89,RNA-4,PSU,24.0,10,10,Eukaryote Total RNA Nano_2020-10-22_11-04-04_10_nts.csv,[23.19695547],-76.80304453447229,123.19695546552771,493.5566737159895,153.09547954378007,224.67582215704192,71.58034261326185,0.1450296317023398
90,RNA-7,5mC,0.0,5,3,Eukaryote Total RNA Nano_2020-10-21_17-01-22_3_nts.csv,[ 23.37510542 877.20951913],777.2095191267773,977.2095191267773,257.9126583404346,130.50959003868286,772.8548417474716,642.3452517087887,2.4905534138650856
91,RNA-7,5mC,0.5,5,4,Eukaryote Total RNA Nano_2020-10-21_17-01-22_4_nts.csv,[ 23.37510542 882.95489917],782.9548991712395,982.9548991712395,178.6676504792557,163.73885388468182,550.360331859292,386.62147797461023,2.1639142672864504
92,RNA-7,5mC,1.0,5,5,Eukaryote Total RNA Nano_2020-10-21_17-01-22_5_nts.csv,[ 23.37510542 882.95489917],782.9548991712395,982.9548991712395,233.58057641285365,197.33788907028475,533.8445248679062,336.50663579762147,1.4406447700636118
93,RNA-7,5mC,1.5,5,6,Eukaryote Total RNA Nano_2020-10-21_17-01-22_6_nts.csv,[ 23.37510542 888.7226321 ],788.7226321043057,988.7226321043057,201.64817070416663,184.75801224979318,400.21378951452624,215.45577726473306,1.0684737506536732
94,RNA-7,5mC,2.0,5,7,Eukaryote Total RNA Nano_2020-10-21_17-01-22_7_nts.csv,[ 23.37510542 882.95489917],782.9548991712395,982.9548991712395,224.72170902914215,186.18503962424893,373.26183823018215,187.07679860593322,0.8324820926921346
